uuid	text	subsection
938b92d5-ee0e-425a-ace4-64eeeaf6a5a9	Add useful comments to code.	1.1.4
8d090e49-4519-4cf0-93b1-480cd225a91a	Apply De Morgan's laws to boolean expressions	4.4.3
a28480e9-d91b-4d0e-9e69-9239761dc798	Apply De Morgan's laws to expressions involving relational & equality operators	4.4.3
eb6f2c42-225a-4329-8fd7-616436b19874	Calculate the String and int values returned by String method calls	7.1.4
deae6886-54fd-42d6-8e83-a60a6ad85afa	Calculate the result of code with consecutive ifs vs else if	4.2.3
803aa40b-47ee-41fa-b2d7-ab9089d5434d	Calculate the value of == & != expressions with references including null	9.2.3
8c66bef8-43b1-4aea-a7f4-e747adb11e4b	Calculate the value of boolean expressions using &&, ||, and !	4.3.4
8c49974f-8de0-4afc-94ae-e509214c6b0b	Calculate the value of expressions using == & != with references	9.2.1
2e829ca8-5ab8-46f1-a325-e89197cc051f	Check loops by checking their bounds.	5.1.4
ed5c52ed-e90e-4187-b2c0-b9c3c32c16eb	Compile and run HelloWorld.java	1.1.5
4fa88e21-76ff-4d67-979c-c900c92ce09e	Compute how many times a for loop will run.	5.5.1
9a820ae5-535b-4939-84c9-b3df2217533d	Compute how many times the inner body of a nested for loop runs.	5.5.2
2dcfeb0b-6693-4969-a426-bbaf294d0a23	Construct tables to represent a dataset	11.2.1
93f26463-c8e2-4fa2-93ce-1f95d99bfbdf	Create methods by extracting code	3.1.4
671fbdd9-443a-47d3-b790-87aa9a880043	Create truth tables for boolean expressions of 2 & 3 variables	4.4.4
092dc9a0-d8c6-4bd2-aac6-99564eef2979	Debug code that incorrectly removes elements from an ArrayList	10.4.1
5ece0dde-b09c-40bb-aa07-b2ce8464506c	Debug index out of bounds errors.	6.1.4
cb0a58e0-d134-4fd4-b012-9c9f09a91077	"Define ""abstraction"""	13.1.1
c5212f86-4cfe-4fc7-9a9a-b1a58f5b2310	"Define ""algorithmic bias"""	13.3.3
9bee76da-4c74-4157-8777-73c245ba2686	"Define ""attribute"""	3.2.1
46eb89a5-5d50-4677-bfa5-6d8af5dab774	"Define ""dataset"""	11.2.1
13dfb0cd-74e9-423e-ba65-8209b0f36471	"Define ""encapsulation"""	8.2.4
299b7ae8-fb9f-4c31-8e60-ad1c751f263d	"Define ""immutable."""	7.1.4
69ef838d-16f0-44d1-a93e-1f181255c6a7	"Define ""procedural abstraction"""	13.1.3
8349e2f1-10d2-463e-88bd-0afc62bd049a	"Define ""sequencing"""	4.1.1
c20be1b6-5a72-42e3-a52e-d19fb3e9cbeb	"Define ""system reliability"""	13.3.1
c229a8b8-a878-4258-bfb9-a92f52ae30a5	"Define ""traversing"" an array."	6.2.1
e175445c-72fb-4d00-b7fd-7154af16fe10	"Define a ""class invariant"""	13.2.2
5e2e39ac-f3db-4172-9fdc-716397a56482	"Define an object's ""state"""	8.2.1
1343971a-d7e9-4440-b367-1f69056369c0	Define postconditions.	13.2.2
e80318fe-b5f1-4cfe-bbe0-f48ebdc60212	Define preconditions.	13.2.2
5c489ffe-fd98-4fde-a16b-4d37b9e29859	Define recursion	12.3.1
6d12382a-7278-46c0-812b-edd288993b71	Define the initializer, condition, and updater in a for loop	5.2.1
7269f017-bf15-4caf-be1c-18bbefeaf7c3	Define the meaning of == & != for primitive & reference values	9.2.1
10d1c520-57fe-4a4b-a9d9-64bee4acfd9a	Defining unboxing.	10.2.2
caea1f1a-93dd-4eb0-aaa5-bc1f26f25589	Demonstrate insertion sort with cards	12.2.2
1495d581-d331-4720-8642-cbed74311e8c	Demonstrate merge sort with cards	12.4.2
9e856ff2-3bc5-4af3-a872-cc4b6e16cec7	Demonstrate selection sort with cards	12.2.1
05321feb-6f50-44c9-ada7-1e7b707851fe	"Describe ""repetition"""	4.1.3
65966008-79e8-4594-9d42-66c1dd116c8f	"Describe ""selection"""	4.1.2
65b1c6f0-2482-484d-bbf5-5b23632468e3	Describe a class in English in terms of its attributes & methods	13.1.4
5cdce992-a7f5-4f9b-acb1-776ca65ac207	Describe a method in terms of its inputs and outputs or side effects	13.1.3
9eb1ebb9-1eff-47d4-8184-09b686b93014	Describe a program (e.g. Google docs) abstractly in English	13.1.4
9ce0d824-047a-487c-a532-2cbb5de9ee5d	Describe a recursive algorithm that is hard to express iteratively	12.3.2
f5ade4b8-e763-4300-abd1-3113fc3ceef6	Describe an algorithm that combines sequencing, selection, and repetition.	4.1.4
94805b57-58b9-40cd-9723-fa1673eac9e3	Describe each of the `ArrayList` method on the Java Quick Reference.	10.1.4
9aa75e5c-785a-43b3-8cba-e640d4c38b77	Describe how arrays are represented in the heap	6.1.5
c6385690-0d73-4c8c-99a7-b90f35e96ffb	Describe how arrays of reference types are stored in the heap.	6.1.2
bf2140d4-7656-43ef-adca-23b07f559e9a	Describe how binary search works	12.1.3
ef0b1e3b-5907-4e83-acd1-023782f88b3e	Describe how instance variables are used by instance methods.	8.2.1
ae2e83a4-57cd-41a0-a295-3c0f87fbc810	Describe how method decomposition creates layered abstractions	13.1.3
96204ddb-58b3-4677-b7dd-0de363342699	Describe how postconditions constrain other code.	13.2.2
7e6fae92-f6d3-48ca-b250-1a2abf0ab491	Describe merge sort.	12.4.2
4c1eacba-08ae-4814-9aee-b3a7d34e02b0	Describe some errors that cannot be detected until we run the program.	1.2.3
136709e5-61eb-4486-b720-ab806a36a94a	Describe the default flow of control in Java code.	4.1.1
942b53e2-a191-4f77-9404-9f29942e3f0b	Describe the difference between arrays and ArrayLists	10.1.5
bb26c660-f3c1-47ea-a438-56d754bf5441	Describe the difference between compile-time and run-time errors	1.2.3
f2fbf5d0-f164-4c8d-9cbd-3355be4e4845	Describe the differences between methods and constructors.	8.3.3
08d83b53-5f46-468a-b387-78c9b26250ee	Describe the kinds of errors that can be detected without running the program.	1.2.1
c9791928-299a-4b38-8731-2d48175eec2e	Describe the kinds of values in, non-computer terms, represented by `int`, `double`, and `boolean`.	2.1.1
0bfe5c1c-41b3-4844-acb0-a51b7b231c58	Describe the limitations of doubles	2.5.4
d5d4eaf9-1963-4fbb-a03b-a57f774b3e95	Describe the limits of ints, doubles, and booleans.	2.5.4
4d330f38-1c8d-48f5-afe0-0c8148624610	Describe the mathematical effect of casting a `double` to an `int`.	2.5.3
6d02277b-48b9-4263-832d-45c8c7d2ad7c	Describe the purpose of inheritance (limited to Object)	8.4.3
b30b4726-11e6-486e-b042-01bcefdae245	Describe the purpose of literal values in code.	2.1.3
c9826686-328a-4c47-b32d-e17132034230	Describe the relationship between class attributes, methods, and constructors	8.1.1
b0ca0d44-218a-4c9d-a275-d46783db4742	Describe the relationship between classes, libraries, & APIs	3.2.1
391584a4-ae42-4486-9b16-4078eb194bf4	Describe the role of a constructor	8.3.3
d09c309c-0010-4eca-a981-8febe389caf1	Describe the three basic building blocks of algorithms	4.1.1
2695ee51-4136-46af-82fb-723bf7383d68	Describe the two main ways instance variables are initialized.	8.2.2
8591041b-3cb3-4558-93b7-1a531b55905b	Describe ways a data set can be useful for one question but misleading for another	13.3.6
012121cb-e00e-4fcf-a0d7-ab0cdd675cc3	Describe ways a dataset can be biased	13.3.3
7a4bb7b4-dab4-49a1-82d8-9265d61f8c51	Describe ways data sets can be incomplete or inaccurate	13.3.6
eb1d85fb-6364-4431-9992-c8760cc3c2d2	Describe ways software or operation failures can compromise privacy	13.3.4
19494040-d06e-4fb0-ba96-de4eb58fffc7	Describe ways you give up some privacy when using software	13.3.4
16fb21d4-ae09-4122-b9d2-bedef167e079	Describe what a text editor is.	1.1.5
16671d6f-b679-4981-b5df-b99b4f323d38	Describe what kind of details a procedural abstraction hides.	13.1.3
6128d62a-e849-4a09-ad07-3eab87e9e813	Determine whether a method can be static or not.	9.3.1
80aa4074-1de5-434a-92bf-12739f39145f	Discuss ways software can have unintended societal consequences	13.3.1
dc9b5a5b-7794-4204-85c8-1c7dac392fd1	Distinguish between = and == and !=	4.5.4
d8ef5bfe-1aac-487e-b668-ce0cc675f531	Distinguish between an index variable and a value.	6.1.4
3f5e4728-eb75-419d-9e68-cf472621f31d	Distinguish between class (static) and instance variables	9.3.2
456cc048-2d48-4d2e-ba5c-95742d965431	Distinguish between declaring, initializing, assigning, and using a variable	2.1.3
8109d567-8471-492b-866e-e7aedcab97ac	Distinguish between local and member variables	9.3.3
38aa08a4-8d95-468a-856f-51ee934fa8a3	Distinguish between modifying an array variable and an array element	6.1.4
7c0ed43a-547d-492f-8f2e-2e5bc4d47b1d	Distinguish between parameters (variables) and arguments (values).	8.3.1
c7ebc916-9b70-4688-bea3-5b562bf41cce	Distinguish between primitive and reference types.	2.1.1
8282f8ed-49bc-4936-bced-1bf061a06e40	Distinguish between primitive values and wrapper types.	10.2.1
c9ea635a-110a-49c0-9644-774795a366b2	Distinguish between syntax & type errors.	1.2.1
e55035d8-41af-4a08-9e60-6df19353a201	Distinguish between syntax, run-time, and logic errors.	1.2.3
6fe212fa-62ff-43d3-aee9-d026b5e59a74	Distinguish between the element type & component type of 2D array	6.4.1
564be60f-5f73-4e64-aef0-2531af15b795	Distinguish between the reference value & object data of an instance.	9.2.1
f5f769b1-c0a9-4064-bed9-676968202b2c	Distinguish between the two ways of allocating an array with new	6.1.2
f3449277-7275-4bda-8e58-eea5bcd5c84a	Distinguish between variables and values.	2.1.2
92c4ba1c-55f8-4806-bb29-9732813be256	Distinguish between when we have to use this. and when its optional	8.2.1
312e3eb2-764a-4c1c-8cb0-f88beb821198	Distinguish regular for loops that can be written as enhanced for loops	6.2.2
902ed0fb-3ea4-49b7-9360-5cd4e95200a3	Evaluate arithmetic expressions involving casts.	2.5.1
67ee4588-9434-4eb2-b91d-07a27bbb5f1d	Evaluate code including assignment statements	2.4.1
336295c8-71c4-4af1-a0a8-fb54986d2b0d	Evaluate code involving pass by value and changes to local variables.	8.3.1
d1819054-ecd6-4245-9f79-a3b420db8ff3	Explain 2-3 uses of the remainder operator	2.3.2
88888a01-8ca2-4743-9ee3-83eaa25cef0c	Explain argument passing in terms of the call stack	8.3.1
d3c5c770-56b6-46f1-8179-ba04f812027e	Explain code that uses post-increment and decrement operators.	2.4.3
4df0fbb2-e5a6-4831-a0f8-d3a7235a03a2	Explain how 2D arrays are stored in the heap	6.4.2
2bb6d7e1-db2e-443e-9c0a-8717802f0a41	Explain how a 2D array is just a 1D array in disguise	6.4.2
9c8565a2-f7e1-48e7-959b-2fe942c9c600	Explain how call by value works.	8.3.1
bf50625a-316d-49a8-b334-6cb611ce119e	Explain how ints & doubles are an abstraction	13.1.2
30e12cca-8724-40ff-8b18-7fbab0befebb	Explain how ints & doubles are an approximation	2.5.4
d33c5576-142a-4dce-b9a8-be82b9547a50	Explain how method calls affect the flow of control.	3.1.2
11b3491b-6cf0-4419-8e4a-98f5d7f42ae1	Explain how preconditions constrain other code.	13.2.2
ea8eac0a-8200-4e67-9bf6-5d572f88e791	Explain how procedural abstraction simplifies code.	13.1.3
a2df6e0f-f6e2-4dd7-996d-fa0f3c00d61a	Explain how recursive calls work in terms of the stack and local variables	12.3.5
51557056-5415-4b7a-83fe-6ac83fa9bc60	Explain how reference types are returned in terms of the call stack	9.1.6
d7b17b6d-3e5f-4aa3-8623-31923f9eb3aa	Explain how repetition changes control flow	4.1.3
dbe4a24c-3c91-4158-acd6-4883fdf6b094	Explain how selection changes control flow	4.1.2
4bf8eee5-759e-47cb-94b7-b262b2cca522	Explain how to decide if a method should be public or private.	9.3.5
39741a34-477f-41e3-8ad4-9606af3ffbbe	Explain how writing a class creates a data abstraction	13.1.2
e6fa01e5-99b3-430a-ba2c-7bb3ab759f41	Explain integer overflow: both when & why it occurs.	2.5.4
e8d29d8f-1bb2-4cb9-af9f-d1227eea3daa	Explain passing references as arguments in terms of the call stack	9.1.2
9690e8d4-9d6a-4878-bfc4-574a55d36b87	Explain results of code that uses compound assignment operators	2.4.3
c3eac1ba-7741-46b3-bf65-1e997df9a229	Explain return in terms of the call stack	12.3.5
f04d0b75-6470-40d7-a5c2-99f6bf688fc9	Explain the consequences of passing mutable types by reference	9.1.4
7448f90f-24ca-4866-a07b-1fabc3cffa0e	"Explain the difference between ""pure"" and side-effecting methods."	8.4.4
dcad7127-4cd9-4188-bc76-fb1565c4ff94	Explain the difference between Object.equals & String.equals.	9.2.2
fad5a542-bf14-4bc1-8c70-a650b66ed2d9	Explain the difference between allocating & initializing an object.	8.1.1
4e5027b3-1078-4c00-8971-a6bc5eb6464b	Explain the difference between data in a file and in a program.	11.2.1
56a05ea0-a1ec-4543-8135-63689a74baa8	Explain the difference between inclusive and exclusive bounds	3.3.2
53736f6b-d4c8-4575-baa7-95a028cca79a	Explain the difference between int and double math.	2.3.1
fe425cd1-f384-4410-8683-40346dabcaf7	Explain the difference between parseInt(s.nextLine()) & s.nextInt()	11.2.3
bb4c26fe-281a-421f-aa73-fc76354a2114	Explain the difference between returning a string and printing	3.1.8
243fafdb-3ad1-4371-85aa-c3332295eacc	Explain the difference between string literals and variables	2.2.2
9b45326f-1f5f-447f-98e5-b5c3edaddcb6	Explain the main job of every constructor	8.3.3
f08c561d-7f2a-4a33-a57c-e36cc86570b6	Explain the purpose of an open source license.	13.3.1
f975c236-65eb-4146-acf9-720fa30ebafd	Explain the purpose of closing a Scanner.	11.1.5
40480fc9-8d18-49e0-bd04-05d3b9ba07dc	Explain the purpose of import in Java	3.2.2
efabfb97-2ae6-490b-b611-52503a122a67	Explain the purpose of the null value	8.2.2
a52faa9d-171b-4ffb-914c-ed503be321eb	Explain the recipe for writing comparisons using compareTo	7.1.5
8bb26936-c33c-496e-bdcb-8257470b7039	Explain the relation between sequential evaluation and assignment	4.1.1
e906cc04-34ce-47cf-b95e-9d088bf3bf1f	Explain the relationship between + and toString	8.4.3
b26e0f26-82d5-4acc-aee4-b043c433afff	Explain the role of booleans in selection & repetition	4.2.1
c2d2e2c6-6629-4cc4-a67a-b5c40d416d0e	Explain the role parameters play in a procedural abstraction	13.1.3
3612691b-772e-4bf2-a0fd-85baff5fac09	Explain the rule of thumb for choosing between while & for loops	5.2.2
a71911ac-6a6b-4d57-87c1-f962ad7bf033	Explain the scope of variables	9.3.3
57958167-13ae-4cb9-9e4f-c64f1f198adf	Explain the structure of a regular for loop	5.2.1
57193814-0079-4e24-8f39-f0cb679add44	Explain the structure of a while loop	5.1.1
bbcad76a-02c1-4f52-84dd-cb8b155c0c23	Explain the two (?) ways int math only approximates real math.	2.5.4
fd15949f-da5a-4244-9951-16165ff2dfd9	Explain the use of short circuiting boolean operators	4.3.6
c6f3e7e8-d8cb-46b4-afd1-ecbccb6c2b1b	Explain what a half-open intervals (is- closed)	12.1.3
bf9e3d59-9a3e-4238-af4f-034bfd4917e0	Explain what it means for each object to have its own copy of instance variables	9.3.2
a9b7ab78-cc9a-44f4-8309-783b34e54873	Explain what it means for expressions to be equivalent	4.4.2
9d6d1ab7-59c0-48bd-89fa-f61599ce9a43	Explain what it means if two objects represent the same mutable object	9.2.1
420b29c5-5660-4881-9f77-39d524cd82d8	Explain where instance variables are stored in memory	9.1.2
4cbb0b49-7855-44df-a845-fd6445c0c59b	Explain where you can access a private member of a class	9.3.5
e072a833-32a6-480b-9b08-0306dcff3aa4	Explain why Scanner.nextLine and other next methods interact badly	11.1.1
46a72226-53be-4ca0-817b-6e7a6fd327c7	Explain why a constructor might make a copy of one of its arguments.	9.1.4
ba9b6405-9828-40f5-a2ee-f8edb4a03d56	Explain why binary search is more efficient than linear search.	12.1.3
1f9ade44-23d6-42fb-bdf2-8f82d54c6aa5	Explain why classes often override equals	9.2.2
ff94b73a-a101-4815-9f0c-fe262f7dff72	Explain why code in an enhanced for loop can't modify the array	6.2.2
9cef504a-87e1-459f-89e6-5a27cd735274	Explain why constant values are often defined as static variables	9.3.4
713f4a22-bc84-4bad-8997-fd74fb7c1d87	Explain why doubles are bad for money.	2.5.4
c395f2a8-9cf6-4beb-82df-41f6be78ba41	Explain why else if is an (okay) violation of the always use braces rule	4.5.1
cfa1ab16-abf9-445e-9c3b-445ec5720d24	Explain why equals probably doesn't do what we want with arrays.	9.2.1
d09b3bdd-c25e-4b03-b84f-58978ca795a8	Explain why even within the same class we cannot invoke instance methods from a static method with some variable holding an instance of the class.	9.3.1
634caae1-89d4-40e8-adb1-7dadeb07b8a6	Explain why file operations may throw IOException	11.1.2
e025a9dc-10a4-4a8f-82b9-2dd3f9897a2a	Explain why instance variables should usually be private.	8.2.4
5a6b89af-e674-4afb-ab31-2dda9d028d2d	Explain why its necessary to use equals with String objects.	9.2.2
7a497f9e-92ca-4682-8cf0-1bd6565e3cba	Explain why non-primitive types are passed by reference.	9.1.2
782d0358-3846-463b-9761-cc2334737cd2	Explain why non-void methods usually shouldn't have side effects	8.4.4
7c3fbc8f-9e92-4eef-ac3a-7a1d985b5ae6	Explain why processing user input line-by-line makes sense.	11.1.5
b08a3884-8b07-4035-b164-13fba0b12dd7	Explain why static methods can't access instance variables	9.3.1
9a3e89cd-c171-4366-9d65-a0c53d4c725a	Explain why the order of operations can affect the value of double comp.	2.5.2
b6e42f58-0fe1-4ed1-93d7-cb6c7e77b69a	Explain why the this. idiom is necessary.	8.2.1
9e744a15-6d3c-408a-a573-0801501df15c	Explain why we can (and should) use equals with all reference types.	9.2.1
eafc7dc4-52ec-48fa-abaf-c6be04ba5e56	Explain why we should never use == & != with booleans	4.5.4
9bae5d1e-cb5b-43c7-afb5-d6baf62f9026	Explain why you might write a getter but no setter	8.4.2
65b9d745-bc14-401b-9647-bb326f5a82e7	Explain why you should always use braces with if & else	4.5.1
1e48386f-8fa6-4302-8881-f8ebcc281550	Express a real-world procedure as an algorithm.	4.1.4
3fc12e30-01fc-47ed-8c5c-edd88ee1b1b1	Fix common syntax errors in Java code	1.2.1
9351853e-85ce-4887-b22c-4da478f83df7	Fix inadvertant infinite while loops	5.1.3
0594bf60-f89e-40d6-bf58-7cacfcf6e8d8	Give examples of O(N) loops and O(N²) loops	12.1.4
36eda965-cdee-4d02-a430-44512f65384a	Identify a syntactically correct while loop	5.1.1
f0a9471a-f6d9-4abc-8c70-b0898ab65245	Identify correct & incorrect calls to a constructor based on arg types.	8.3.3
c019c453-8273-4c95-be3e-4d58f8b8f4e9	Identify correct & incorrect uses of constructor invocation based on expected type.	8.3.3
fc0d7231-90a5-4083-ad02-4846e3521aa1	Identify infinite while loops	5.1.3
96d357dc-8547-4816-8d02-d53b9a04d560	Identify methods that can be used in an expression based on return type	3.1.7
a33b0de2-e7fe-4184-883c-ff3f0d901d01	Identify missing semicolons and extraneous semicolons	1.2.1
bbe6007e-a4c9-4c26-a840-c410baad2d75	Identify shadowed variables	9.3.3
aca3d238-205a-4a69-92f4-51f4184f7b55	Identify sorting algorithm from code (bubble, insertion, selection, merge)	12.2.1
48fd3a42-41f5-4828-9118-01f984ffefd7	Identify syntactically correct constructor signatures.	8.3.3
62f86dcb-ef96-447b-83db-f319a4a7114a	Identify the body of a while loop	5.1.1
d718aba6-c442-4a77-be40-4b78bdedb0fb	Identify the component type of 1- and 2-d array types	6.1.1
a36e9353-cf41-41e2-8156-86d728d0b8ce	Identify the condition of a while loop	5.1.1
ac4c2572-a5e4-4271-91e9-dd12b826412e	Identify the correct method signature for a given method call.	3.1.1
ccf868b7-a891-4d1f-9b72-b1baa696cc73	Identify the scope of local variables	9.3.3
1c167896-1ead-4dab-8816-d7ef8b4ee1cd	Identify which of several overloaded methods will be invoked by a call.	8.4.5
0fad0ed0-ea63-48a2-a151-7152de71ef4a	Identify which overloaded constructor will be invoked by a call.	8.3.4
c6efc156-84c6-4419-adf9-34c4466312bc	List conditions that you might use in a while loop	5.1.1
f6ad7343-dbce-4f90-a9a7-af560e28beb2	List some situations when Java will throw a runtime Exception	1.2.3
44742501-76fd-4448-9160-91d8407a75a9	List the default values for array elements of different types of array.	6.1.2
6c0957b3-a4cd-4913-a1ae-9685e1be3164	List the default values for member variables & types: int, double, boolean, etc. and references	8.2.2
d248bfa2-1699-4b54-86bb-b2cab6ce0c58	List the default values for uninitialized instance variables	8.2.2
52192675-1aca-4537-a33a-03a4a740349a	List the mechanisms in Java we've learned for creating abstractions	13.1.7
